order1	order2	Habitname	ESIS Group	Old Symbol	Intermediate Revision	Revised Symbol	Simple
1	1	Tree	Tree	t	T	T	Evergreen
2	2	Shrub/Subshrub	Shrub/Subshrub		S	S	Evergreen
3	3	Liana	Vine/Liana	v	L	L	Evergreen
4	4	Herb	Forb/Herb		H	H	Forb
5	5	Forb	Forb/Herb		HF	H.F	Forb
6	6	Graminoid	Grass/grass-like		HG	H.G	Graminoid
7	7	Epiphyte	Vine/Liana	e	E	E	Evergreen
8	8	Nonvascular	Nonvascular		N	N.	Nonvascular
9	9	Bryophyte	Nonvascular	M	NB	N.B	Nonvascular
10	10	Lichen	Biological Crusts	L	NL	N.L	Nonvascular
11	11	Algae	Biological Crusts	A	NA	N.A	Nonvascular
100	12	broadleaf tree	Tree			T.B	Evergreen
100	13	broadleaf deciduous tree	Tree	Dt	TBD	T.BD	Deciduous
100	14	short broadleaf deciduous tree	Tree	Dt1	TBD1	T1BD	Deciduous
100	15	tall broadleaf deciduous tree	Tree	Dt2	TBD2	T2BD	Deciduous
100	16	broadleaf evergreen tree	Tree	Bt	TBE	T.BE	Evergreen
100	17	small broadleaf evergreen tree	Tree	Bt1	TBE1	T1BE	Evergreen
100	18	tall broadleaf evergreen tree	Tree	Bt2	TBE2	T2BE	Evergreen
100	19	small sclerophyllous tree	Tree			T1BES	Evergreen
100	20	tall sclerophyllous tree	Tree	Bt2	TBE2	T2BES	Evergreen
100	21	graminoid tree	Tree	Gt	TG	T.G	Evergreen
100	22	small graminoid tree	Tree	Gt1	TG1	T1G	Evergreen
100	23	small microphyllous deciduous tree	Tree			T1MD	Deciduous
100	24	microphyllous evergreen tree	Tree			T.ME	Evergreen
100	25	small microphyllous evergreen tree	Tree			T1ME	Evergreen
100	26	needleleaf deciduous tree	Tree	Nt	TND	T.ND	Deciduous
100	27	small needleleaf deciduous tree	Tree	Nt1	TND1	T1ND	Deciduous
100	28	tall needleleaf deciduous tree	Tree	Nt2	TND2	T2ND	Deciduous
100	29	needleleaf evergreen tree	Tree	Et	TNE	T.NE	Evergreen
100	30	short needleleaf evergreen tree	Tree	Et1	TNE1	T1NE	Evergreen
100	31	tall needleleaf evergreen tree	Tree	Et2	TNE2	T2NE	Evergreen
100	32	rosette tree	Tree	Rt	TP	T.P	Evergreen
100	33	small rosette tree	Tree	Rt1	TP1	T1P	Evergreen
100	34	tall rosette tree	Tree	Rt2	TP2	T2P	Evergreen
100	35	succulent tree	Tree	Ct	TU	T.U	Evergreen
100	36	short succulent tree	Tree	Ct1	TU1	T1U	Evergreen
150	37	tree fern	Tree Fern	Ot	TF	T.F	Evergreen
190	38	small parasitic tree	Tree	Pt1	TBP1	T1Bi	Deciduous
190	39	parasitic tree	Tree	Pt	TBP	T.Bi	Deciduous
200	40	broadleaf deciduous shrub/subshrub	Shrub/Subshrub			S.B	Deciduous
200	41	broadleaf deciduous shrub/subshrub	Shrub/Subshrub			S.BD	Deciduous
200	42	broadleaf deciduous subshrub	Shrub/Subshrub	Du	SBD1	S1BD	Deciduous
200	43	broadleaf deciduous shrub	Shrub/Subshrub	Ds	SBD2	S2BD	Deciduous
200	44	broadleaf evergreen shrub/subshrub	Shrub/Subshrub			S.BE	Evergreen
200	45	broadleaf evergreen subshrub	Shrub/Subshrub	Bu	SBE1	S1BE	Evergreen
200	46	broadleaf evergreen shrub	Shrub/Subshrub	Bs	SBE2	S2BE	Evergreen
200	47	sclerophyllous subshrub	Shrub/Subshrub	Bu	SBE1	S1BES	Evergreen
200	48	sclerophyllous shrub	Shrub/Subshrub			S2BES	Evergreen
200	49	fern shrub/subshrub	Shrub/Subshrub			S.F	Evergreen
200	50	graminoid subshrub	Shrub/Subshrub	Gu	SG1	S1G	Evergreen
200	51	graminoid shrub	Shrub/Subshrub	Gs	SG2	S2G	Evergreen
200	52	microphyllous deciduous subshrub	Shrub/Subshrub			S1MD	Deciduous
200	53	microphyllous deciduous shrub	Shrub/Subshrub			S2MD	Deciduous
200	54	microphyllous evergreen subshrub	Shrub/Subshrub			S1ME	Evergreen
