User Site ID	NASIS Group Name	obsYear	obsMonth	obsDAY	Current Taxon Name	Current Taxonomic Class	Std Latitude	Std Longitude
1966MI025001	12-GRR Points	1966	5	16	Kalamazoo	Fine-loamy over sandy or sandy-skeletal, mixed, semiactive, mesic Typic Hapludalfs	42.2026778	-85.0688056
S1979MI073003	12-GRR Points	1979	11	27	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.6800028	-84.9021778
1975MI057007	12-GRR Points	2015	10	28	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.1905278	-84.6705028
S1976MI073004	12-GRR Points	1976	11	3	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.8140167	-84.8491639
S1976MI073005	12-GRR Points	1976	11	10	Perrinton	Fine, mixed, active, mesic Oxyaquic Glossudalfs	43.5699056	-84.7479194
1983MI081002	12-GRR Points	2015	11	12	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.0876944	-85.673025
1978MI107013	12-GRR Points	1978	5	15	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.6859556	-85.5181139
1990MI127001	12-GRR Points	1990	5	1	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.7129556	-86.4780917
1990MI123001	12-GRR Points	2015	12	8	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.5004389	-85.637675
1966MI121200	12-GRR Points	2015	12	8	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.2328417	-85.8128556
2004MI101005	12-GRR Points	2015	12	11	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	44.4946472	-86.217025
1989MI127002	12-GRR Points	1989	9	14	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.5904944	-86.0457111
1989MI127003	12-GRR Points	1989	6	28	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.6870167	-86.3980806
1988MI127004	12-GRR Points	1988	8	23	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.8179778	-86.3266417
1988MI127005	12-GRR Points	1988	6	10	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.81105	-86.3863389
1980MI107003	12-GRR Points	1980	5	7	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.6294583	-85.4428667
1978MI107014	12-GRR Points	1978	4	17	Perrinton	Fine, mixed, active, mesic Oxyaquic Glossudalfs	43.6878861	-85.5266528
1978MI107015	12-GRR Points	1978	9	8	Perrinton	Fine, mixed, active, mesic Oxyaquic Glossudalfs	43.6275667	-85.4985583
1978MI107016	12-GRR Points	1978	10	27	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.5412778	-85.4924972
1978MI107017	12-GRR Points	1978	9	6	Perrinton	Fine, mixed, active, mesic Oxyaquic Glossudalfs	43.5943444	-85.4776806
1978MI107018	12-GRR Points	1978	9	5	Perrinton	Fine, mixed, active, mesic Oxyaquic Glossudalfs	43.7675333	-85.5429056
1978MI107019	12-GRR Points	1978	11	8	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.5201472	-85.5085472
1977MI107004	12-GRR Points	1977	6	3	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.7702889	-85.5227306
1958MI107001	12-GRR Points	1958	10	29	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.7649556	-85.5252667
1980MI107004	12-GRR Points	1980	7	10	Perrinton	Fine, mixed, active, mesic Oxyaquic Glossudalfs	43.6336611	-84.9420028
1976MI073201	12-GRR Points	1976	9	1	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.693825	-84.9087583
1979MI073007	12-GRR Points	1979	10	3	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.7021389	-84.8304639
1981MI073003	12-GRR Points	1981	6	10	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.6190944	-84.8909222
1981MI073004	12-GRR Points	1981	6	19	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.7155306	-84.8267917
1979MI081042	12-GRR Points	1979	4	26	Perrinton	Fine, mixed, active, mesic Oxyaquic Hapludalfs	42.9844972	-85.5893194
1968MI057003	12-GRR Points	2015	9	15	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.3205833	-84.6132028
1968MI057004	12-GRR Points	1968	8	27	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.330225	-84.6294472
