Observatio	RASTERVALU
gs20181003.04	3117295
gs20181003.05	186249
gs20180816.02	186925
gs20180816.03	186925
gs20180816.04	186929
gs20180823.01	186174
gs20180823.02	186155
gs20180823.03	186185
GRR1	190744
s20190820.01	186226
s20190820.02	186248
s20190820.03	186249
s20190820.04	186248
s20190905.01	186968
s20190905.02	186961
s20190905.03	186989
s20190905.04	186960
s20191010.01	189790
s20191010.02	189787
GRR2	190744
s20191017.01	189758
s20191017.02	189783
GRR5	186435
GRR6	186422
s20190722.01	3117295
s20190722.02	3117295
s20190722.03	186399
s20190722.04	186399
s20190726.01	2689438
s20190701.01	188724
s20190701.02	188722
s20190701.03	188725
