"","legacysoilcompname","si.min","si.15","si.mean","si.85","si.max","si.count"
"1","ADRIAN",46,52.3,66,76.7,92,7
"2","BOOTS",28,28.6,31.6666666666667,34.9,37,3
"3","CARLISLE",93,93,93,93,93,1
"4","EDWARDS",53,53.3,54,54.7,55,2
"5","HOUGHTON",37,50,71.16,90,100,25
"6","PALMS",61,61,61,61,61,1
