"","peiid","User.Site.ID","siteiid","site_id","obs_date","utmzone","utmeasting","utmnorthing","x","y","horizdatnm","Std.Longitude","Std.Latitude","gpspositionalerror","describer","pedonpurpose","pedontype","pedlabsampnum","labdatadescflag","tsectstopnum","tsectinterval","utransectid","tsectkind","tsectselmeth","elev_field","slope_field","aspect_field","plantassocnm","earthcovkind1","earthcovkind2","erocl","bedrckdepth","bedrckkind","bedrckhardness","hillslopeprof","geomslopeseg","shapeacross","shapedown","slopecomplex","drainagecl","geomposhill","geomposmntn","geomposflats","slope_shape","classdate","classifier","classtype","Current.Taxon.Name","localphase","taxonkind","seriesstatus","taxpartsize","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","soiltaxedition","osdtypelocflag","taxmoistcl","taxtempregime","taxfamother","psctopdepth","pscbotdepth","selection_method","ecositeid","ecositenm","ecositecorrdate","es_classifier","es_selection_method","argillic.horizon","ochric.epipedon","albic.horizon","spodic.horizon","ortstein","duripan","cambic.horizon","paralithic.contact","lithic.contact","aquic.conditions","redox.concentrations","reduced.matrix","anthropic.epipedon","mollic.epipedon","sapric.soil.materials","marl","limnic.materials","endosaturation","redox.depletions.with.chroma.2.or.less","natric.horizon","mottles.with.chroma.2.or.less","densic.materials","histic.epipedon","umbric.epipedon","agric.horizon","glossic.horizon","coprogenous.earth","fragipan","lamellae","calcic.horizon","densic.contact","free.carbonates","lithologic.discontinuity","interfingering.of.albic.materials","fibric.soil.materials","secondary.carbonates","hemic.soil.materials","albic.materials","episaturation","abrupt.textural.change","fragic.soil.properties","placic.horizon","strongly.contrasting.particle.size.class","human.transported.material","artifacts","resistant.minerals","sulfidic.materials","sulfuric.horizon","weatherable.minerals","surface_fgravel","surface_gravel","surface_cobbles","surface_stones","surface_boulders","surface_channers","surface_flagstones","surface_paragravel","surface_paracobbles","landform_string","pmkind","pmorigin","Current.Taxonomic.Class","distance","distance2"
"17","35516","D96MI101002",35571,"D96MI101002",1996-09-03,16,NA,NA,-85.9400863647461,44.4263877868652,"NAD83",-85.9400833,44.4263889,NA,"EPJ, RWN, LKB","full pedon description","correlates to named soil",NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1996-09-03 00:00:00,NA,"sampled as","Dair",NA,NA,NA,"sandy","inceptisols","aquepts","humaquepts","histic humaquepts",NA,0,"aquic","mesic","not used",NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"outwash plain",NA,NA,"sandy, mesic, histic humaquepts",330413.159325184,1
"51","35704","94IN039003",101945,"S1994IN039003",1994-08-11,NA,NA,NA,-85.8527755737305,41.6949996948242,NA,-85.8527756,41.6949997,NA,NA,"laboratory sampling site","correlates to named soil","95P0247",0,NA,NA,NA,NA,NA,232.399993896484,1,NA,NA,NA,NA,NA,NA,NA,NA,"toeslope",NA,NA,NA,NA,"very poorly","base slope",NA,NA,NA,2013-04-12 00:00:00,NA,"correlated","Edwards",NA,"series","established","not used","histosols","saprists","haplosaprists","limnic haplosaprists","eleventh edition",0,"aquic","mesic","not used",NA,NA,"most recent",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"depression","organic, unspecified & marl","NA","mesic, limnic haplosaprists",127226.991065941,1
"88","36392","91OH041009",36448,"1991OH041009",1991-10-17,NA,NA,NA,-83.1633071899414,40.3643417358398,"NAD83",-83.1633028,40.3643444,NA,"Jenny, Glanville",NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-17 00:00:00,NA,"sampled as","Edwards",NA,NA,NA,NA,"histosols","saprists","medisaprists","limnic medisaprists",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,"organic, herbaceous material & lacustrine deposits & alluvium & organic, unspecified","NA & marl & mixed","mesic, limnic medisaprists",431206.200074255,1
"104","36415","92OH041010",36471,"1992OH041010",1992-02-24,NA,NA,NA,-83.1786956787109,40.4270515441895,"NAD83",-83.1786944,40.4270528,NA,"Jenny, Glanville",NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-02-24 00:00:00,NA,"sampled as","Edwards",NA,NA,NA,NA,"histosols","saprists","medisaprists","limnic medisaprists",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,"organic, herbaceous material & lacustrine deposits & organic, unspecified","NA & marl","mesic, limnic medisaprists",427423.339542435,1
"136","36467","92OH041065",36523,"1992OH041065",1992-09-01,NA,NA,NA,-83.1600952148438,40.3573303222656,"NAD83",-83.1600917,40.3573306,NA,"Jenny, Glanville","full pedon description",NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-04-03 17:45:17,NA,"correlated","Edwards",NA,NA,NA,"not used","histosols","saprists","medisaprists","limnic medisaprists",NA,0,NA,"mesic",NA,NA,NA,"most recent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,"organic, unspecified & lacustrine deposits & organic, herbaceous material & outwash","NA & marl & mixed","mesic, limnic medisaprists",431780.609484975,1
"142","36476","1992OH063005",36532,"1992OH063005",1992-10-13,NA,NA,NA,-83.4473114013672,41.0184555053711,"NAD83",-83.4473139,41.0184556,NA,"RAR, MMF","full pedon description","representative pedon for component",NA,0,NA,NA,NA,NA,NA,244,0,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,2012-04-24 14:16:50,NA,"correlated","Adrian",NA,"series",NA,"sandy","histosols","saprists","medisaprists","terric medisaprists",NA,0,"udic","mesic",NA,NA,NA,"most recent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"outwash plain",NA,NA,"sandy, mesic, terric medisaprists",383729.248333842,1
"260","36675","1982OH065003",36731,"1982OH065003",1982-07-26,NA,NA,NA,-83.8091278076172,40.624870300293,"NAD83",-83.8091278,40.6248722,NA,"MMF/RAR","soil survey inventory","TUD pedon",NA,0,NA,NA,NA,NA,NA,296,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1982-07-26 00:00:00,NA,"sampled as","Linwood",NA,NA,NA,"loamy","histosols","saprists","medisaprists","terric medisaprists",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"lake plain","organic, unspecified & lacustrine deposits","NA","loamy, mesic, terric medisaprists",358289.155607118,1
"261","36676","1982OH065004",36732,"1982OH065004",1982-07-28,NA,NA,NA,-83.8079528808594,40.6779632568359,"NAD83",-83.8079472,40.6779667,NA,"MMF/RAR","soil survey inventory","TUD pedon",NA,0,NA,NA,NA,NA,NA,295,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1982-07-28 00:00:00,NA,"sampled as","Mcguffey",NA,NA,NA,"fine","inceptisols","aquepts","humaquepts","histic humaquepts",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"lake plain","organic, unspecified & lacustrine deposits & lacustrine deposits","NA","fine, mesic, histic humaquepts",356567.282045417,1
"282","36702","1984OH065004",36758,"1984OH065004",1984-07-31,NA,NA,NA,-83.7535552978516,40.6674957275391,"NAD83",-83.7535528,40.6674972,NA,"MMF/RAR","full pedon description","TUD pedon",NA,0,NA,NA,NA,NA,NA,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1984-07-31 00:00:00,NA,"sampled as","Pewamo",NA,NA,NA,"fine-loamy","inceptisols","aquepts","humaquepts","histic humaquepts",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"lake plain","till, unspecified","NA","fine-loamy, mesic, histic humaquepts",362309.104236193,1
"287","36708","1985OH065003",36764,"1985OH065003",1985-08-20,NA,NA,NA,-83.7632446289062,40.7186851501465,"NAD83",-83.7632472,40.7186833,NA,"MMF/RAR","full pedon description","within range of map unit",NA,0,NA,NA,NA,NA,NA,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1985-08-20 00:00:00,NA,"sampled as","Olentangy",NA,NA,NA,"fine-silty","inceptisols","aquepts","humaquepts","histic humaquepts",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression",NA,NA,"fine-silty, mesic, histic humaquepts",359664.435122066,1
"343","101928","S1994IN039003",101945,"S1994IN039003",1994-08-11,NA,NA,NA,-85.8527755737305,41.6949996948242,NA,-85.8527756,41.6949997,NA,NA,NA,NA,"95P0247",0,NA,NA,NA,NA,NA,232.399993896484,1,NA,NA,NA,NA,NA,NA,NA,NA,"toeslope",NA,NA,NA,NA,"very poorly","base slope",NA,NA,NA,2007-07-23 20:09:00,NA,"correlated","Edwards",NA,"series",NA,NA,"histosols","saprists","haplosaprists","limnic haplosaprists",NA,0,"aquic","mesic",NA,NA,NA,"most recent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression","organic, unspecified & marl","NA","mesic, limnic haplosaprists",127226.991065941,1
"344","101929","S1994IN039004",101946,"S1994IN039004",1994-08-11,NA,NA,NA,-85.9549942016602,41.6077766418457,NA,-85.9550018,41.6077766,NA,NA,NA,NA,"95P0248",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,2007-07-23 20:09:00,NA,"correlated","Houghton",NA,"series",NA,NA,"histosols","saprists","haplosaprists","typic haplosaprists",NA,0,NA,"mesic",NA,NA,NA,"most recent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression","organic, unspecified","NA","mesic, typic haplosaprists",116612.193419326,1
"348","101935","S1994IN039012",101952,"S1994IN039012",1994-10-24,NA,NA,NA,-85.9847183227539,41.6019439697266,NA,-85.984726,41.601944,NA,"RAB, SLM","full pedon description","representative pedon for component","95P0254",0,NA,NA,NA,NA,NA,241,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,2007-07-23 20:09:00,NA,"correlated","Muskego",NA,"series",NA,NA,"histosols","saprists","haplosaprists","limnic haplosaprists",NA,0,"aquic","mesic",NA,NA,NA,"most recent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression","organic, unspecified & organic, herbaceous material","NA","mesic, limnic haplosaprists",113554.75804446,1
"349","101936","S1994IN039013",101953,"S1994IN039013",1994-10-24,NA,NA,NA,-85.9338912963867,41.5758323669434,NA,-85.9338913,41.5758324,NA,"RAB, SLM","full pedon description","representative pedon for component","95P0255",0,NA,NA,NA,NA,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,"toeslope",NA,NA,NA,NA,"very poorly","base slope",NA,NA,NA,2007-07-23 20:09:00,NA,"correlated","Palms",NA,"series",NA,"loamy","histosols","saprists","haplosaprists","terric haplosaprists",NA,0,"aquic","mesic",NA,NA,NA,"most recent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression","organic, unspecified & organic, herbaceous material","NA","loamy, mesic, terric haplosaprists",119004.504778886,1
"350","101937","S1994IN039014",101954,"S1994IN039014",1994-10-25,NA,NA,NA,-85.8730545043945,41.6813850402832,NA,-85.8730545,41.6813889,NA,"SLM, RAB","full pedon description","TUD pedon","95P0256",0,3,100,NA,NA,NA,233,0,NA,NA,NA,NA,NA,NA,NA,NA,"toeslope",NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,2007-07-16 00:00:00,NA,"correlated","MARTISCO",NA,NA,NA,"fine-loamy over sandy or sandy-skeletal","inceptisols","aquepts","humaquepts","histic humaquepts",NA,0,"aquic","mesic",NA,25,100,"most recent",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"marsh","organic, unspecified & marine deposits","NA & marl","fine-loamy over sandy or sandy-skeletal, mesic, histic humaquepts",125071.421525418,1
"354","101951","S1994IN039031",101968,"S1994IN039031",1994-12-02,NA,NA,NA,-85.7797164916992,41.7527770996094,NA,-85.7797241,41.7527771,NA,"SLM, RAB","full pedon description","TUD pedon","97P0173",0,NA,9,NA,NA,NA,233,0,NA,NA,NA,NA,"1",NA,NA,NA,"toeslope",NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1994-12-02 00:00:00,NA,"sampled as","Adrian Muck",NA,NA,NA,"sandy or sandy-skeletal","histosols","saprists","medisaprists","terric medisaprists",NA,0,"aquic","mesic",NA,61,136,"single record",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"outwash plain","organic, unspecified & outwash & organic, herbaceous material","NA & mixed","sandy or sandy-skeletal, mesic, terric medisaprists",135197.650917033,1
"398","102618","S1974MI037001",102635,"S1974MI037001",1974-10-10,NA,NA,NA,-84.3844604492188,42.8243408203125,"NAD83",-84.3844639,42.8243417,NA,"N. Stroesenreuther, D. Mokma, and W.K. Mettert",NA,NA,"40A1933",0,NA,NA,NA,NA,NA,247,1,NA,NA,"crop cover","row crop","1",NA,NA,NA,"toeslope",NA,NA,NA,NA,"very poorly","base slope",NA,NA,NA,1974-10-10 00:00:00,NA,"sampled as","Houghton",NA,NA,NA,NA,"histosols","saprists","medisaprists","typic medisaprists",NA,0,"udic","mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression & moraine","organic, herbaceous material","NA","mesic, typic medisaprists",308682.073991904,1
"399","102619","S1974MI037002",102636,"S1974MI037002",1974-10-10,NA,NA,NA,-84.3809585571289,42.8285179138184,"NAD83",-84.3809556,42.8285194,NA,"R. Harner, N. Stroesenreuther, and W. Mettert",NA,NA,"40A1934",0,NA,NA,NA,NA,NA,247.600006103516,1,NA,NA,"grass/herbaceous cover","other grass/herbaceous cover","1",NA,NA,NA,"toeslope",NA,NA,NA,NA,"very poorly","base slope",NA,NA,NA,1974-10-10 00:00:00,NA,"sampled as","Houghton",NA,NA,NA,NA,"histosols","saprists","medisaprists","typic medisaprists",NA,0,"udic","mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression & moraine","organic, herbaceous material","NA","mesic, typic medisaprists",309209.07513346,1
"401","102629","S1974MI045001",102646,"S1974MI045001",1974-10-10,NA,NA,NA,-84.7205581665039,42.6858329772949,"NAD83",-84.7204742,42.6858406,NA,"N. Stroesenreuther, E. Whiteside, and R. Engel",NA,NA,"40A1935",0,NA,NA,NA,NA,NA,259.100006103516,1,NA,NA,"crop cover",NA,"1",NA,NA,NA,"toeslope",NA,NA,NA,NA,"very poorly","base slope",NA,NA,NA,1974-10-10 00:00:00,NA,"sampled as","Houghton",NA,NA,NA,NA,"histosols","saprists","medisaprists","typic medisaprists",NA,0,"udic","mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression & outwash plain","organic, herbaceous material","NA","mesic, typic medisaprists",270514.095614219,1
"402","102630","S1974MI045002",102647,"S1974MI045002",1974-10-10,NA,NA,NA,-84.7205581665039,42.6944465637207,NA,-84.7204742,42.6944504,NA,"N. Stroesenreuther and R. Engel",NA,NA,"40A1939",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1974-10-10 00:00:00,NA,"sampled as","Adrian",NA,NA,NA,"sandy","histosols","saprists","medisaprists","terric medisaprists",NA,0,"udic","mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression","organic, herbaceous material","NA","sandy, mesic, terric medisaprists",270922.61190142,1
"408","102639","S1974MI057002",102656,"S1974MI057002",1974-10-10,NA,NA,NA,-84.4475021362305,43.1674957275391,NA,-84.4474106,43.1675034,NA,"N. Stroesenreuther, J. Feenstra, D. Krause, and C.C. Wang",NA,"OSD pedon","40A1938",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,2007-07-16 17:54:36,NA,"correlated","ADRIAN",NA,"series",NA,"sandy or sandy-skeletal","histosols","saprists","medisaprists","terric medisaprists",NA,0,"udic","mesic",NA,NA,NA,"most recent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,"organic, herbaceous material","NA","sandy or sandy-skeletal, mesic, terric medisaprists",321057.335957533,1
"456","102732","S1974MI161001",102749,"S1974MI161001",1974-10-10,NA,NA,NA,-84.0036087036133,42.2136116027832,NA,-84.0035019,42.213623,NA,"N. Stroesenreuther, R. Harner, and J. Barnes",NA,NA,"40A1940",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1974-10-10 00:00:00,NA,"sampled as","Adrian",NA,NA,NA,"sandy","histosols","saprists","medisaprists","terric medisaprists",NA,0,"udic","mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"outwash plain","organic, herbaceous material","NA","sandy, mesic, terric medisaprists",325440.321307343,1
"457","102733","S1974MI161002",102750,"S1974MI161002",1974-10-10,NA,NA,NA,-84.0108337402344,42.2147216796875,NA,-84.0107269,42.2147331,NA,"N. Stroesenreuther, J. Barnes, and R. Engel",NA,NA,"40A1937",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1974-10-10 00:00:00,NA,"sampled as","Edwards",NA,NA,NA,NA,"histosols","saprists","medisaprists","limnic medisaprists",NA,0,"udic","mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"outwash plain","organic, herbaceous material","NA","mesic, limnic medisaprists",324727.003753827,1
"485","109040","S1999IN131001",109026,"S1999IN131001",1999-04-26,NA,NA,NA,-86.5393905639648,41.1522254943848,"NAD27",-86.5393677,41.1522446,NA,"Rex A. Brock, Gary L. Hudson, Shane L. McBurnett","full pedon description","OSD pedon","99P0509",0,NA,NA,NA,NA,NA,218,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,2004-12-17 20:41:15,NA,"correlated","MOSTON",NA,"series",NA,NA,"histosols","saprists","haplosaprists","limnic haplosaprists","ninth edition",0,"aquic","mesic",NA,0,130,"most recent",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"outwash plain & till plain","organic, herbaceous material & coprogenic material & outwash","NA","mesic, limnic haplosaprists",78721.3170372828,1
